Drug Name,Manufacturer,Strength,Form,Category,Indication,Side Effects,Price
Fesovit 40mg SR-1403,Martin Dow,40mg,Sachet,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,1344
Mobic Gel 1g SR-1404,Searle,1g,Gel,Tubes (Creams/Gels/Ointments),"Topical anti-inflammatory gel for localized relief of muscular pain, sprains, and arthritis.",Mild skin irritation or dry skin.,1332
Amoxil 250mg/5ml SR-1405,Novartis,250mg/5ml,Tablet,Tablets/Capsules,Broad-spectrum penicillin antibiotic for systemic bacterial infections.,"Nausea, diarrhea, abdominal discomfort, or skin rash.",1139
Citra-Alka 250mg SR-1406,Bosch,250mg,Sachet,Powders/Sachets,"Systemic alkalizer sachet for symptomatic relief of burning micturition, cystitis, and gout.",Mild bloating or nausea.,1214
Somogel 30s SR-1407,Abbott,30s,Gel,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,221
Dalacin-T 250mg/5ml SR-1408,Searle,250mg/5ml,Gel,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,535
Loprin 250mg/5ml SR-1409,Bosch,250mg/5ml,Tablet,Tablets/Capsules,"Low-dose aspirin to prevent platelet aggregation, heart attacks, and blood clots.",Mild indigestion or increased bleeding tendency.,612
Fesovit 250mg SR-1410,Novartis,250mg,Sachet,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,1462
Acetone 20s SR-1411,PharmEvo,20s,Suspension,Syrups/Suspensions,Fever reducer and analgesic for mild-to-moderate physical discomforts.,Safe under recommended dose.,275
Smecta 30g SR-1412,Searle,30g,Sachet,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,668
Entamizole 500mg/5ml SR-1413,GSK,500mg/5ml,Tablet,Tablets/Capsules,"Treats mixed amoebic and bacterial dysentery, diarrhea, and dental infections.","Metallic taste, dark urine, or nausea.",1424
Polyfax 100mg SR-1414,Hilton,100mg,Gel,Tubes (Creams/Gels/Ointments),Dual antibiotic skin ointment to prevent and treat bacterial skin and wound infections.,Rare allergic skin reaction.,1153
Gaviscon 30g SR-1415,Sanofi,30g,Syrup,Syrups/Suspensions,"Fast-acting relief from gastric acidity, heartburn, and acid indigestion.",Very rare mild bloating or constipation.,884
Bonjela 500mg SR-1416,PharmEvo,500mg,Powder,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,511
Pulmonol 500mg SR-1417,Ferozsons,500mg,Syrup,Syrups/Suspensions,Cough expectorant to clear lung congestion and ease throat irritation.,Mild stomach upset or drowsiness.,1206
Fesovit 500mg SR-1418,Pfizer,500mg,Powder,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,1031
Betnovate-N 20g SR-1419,PharmEvo,20g,Ointment,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",843
Bonjela 1g SR-1420,Barrett Hodgson,1g,Sachet,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,1065
Lowplat 250mg/5ml SR-1421,Sami,250mg/5ml,Tablet,Tablets/Capsules,"Prevents blood clotting, reduces risk of heart attack, stroke, and cardiovascular events.","Increased bruising, nosebleeds, or minor bleeding.",890
Fesovit 30s SR-1422,Pfizer,30s,Powder,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,233
Azomax 30g SR-1423,Bosch,30g,Capsule,Tablets/Capsules,"Treats bacterial infections of respiratory tract, ENT, skin, and urinary tract.","Nausea, diarrhea, abdominal discomfort, or skin rash.",360
Cranmax 20s SR-1424,Sanofi,20s,Powder,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,668
Lipiget 10s SR-1425,GSK,10s,Capsule,Tablets/Capsules,Lowers high cholesterol levels and prevents cardiovascular complications.,"Muscle pain, headache, or mild digestive issues.",1080
Co-Amoxiclav 10mg SR-1426,Pfizer,10mg,Suspension,Syrups/Suspensions,"Combined antibiotic for severe respiratory, urinary, and dental bacterial infections.","Diarrhea, nausea, or localized rash.",1394
Cac-1000 250mg/5ml SR-1427,Bayer,250mg/5ml,Syrup,Powders/Sachets,"Calcium, Vitamin C, D3, and B6 supplement for strong bones and energy boost.",Mild stomach upset or bloating.,1114
Panadol 30g SR-1428,PharmEvo,30g,Capsule,Tablets/Capsules,"Used for rapid relief of fever, headache, migraine, toothache, and body pain.",Safe under recommended dose. Rare skin rash or liver issue if overdosed.,930
Fucidin 15g SR-1429,Hilton,15g,Gel,Tubes (Creams/Gels/Ointments),"Topical antibiotic cream for bacterial skin infections, impetigo, and infected eczema.",Rare local hypersensitivity reaction.,245
Ispaghol 20g SR-1430,Abbott,20g,Sachet,Powders/Sachets,"Natural psyllium husk fiber supplement for chronic constipation, bowel regularity, and cholesterol.","Mild gas, bloating, or stomach cramps.",376
Smecta 50mg SR-1431,Bayer,50mg,Powder,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,134
Ventolin 20mg SR-1432,Hilton,20mg,Suspension,Syrups/Suspensions,"Bronchodilator to relieve wheezing, shortness of breath, asthma, and COPD symptoms.","Tremor, mild headache, or rapid heart rate.",582
Evion 100mg SR-1433,PharmEvo,100mg,Tablet,Tablets/Capsules,"Vitamin E supplement for healthy muscle, skin, nerve tissue, and antioxidant protection.",None under standard dosage.,830
Calpol 5ml SR-1434,Sanofi,5ml,Tablet,Tablets/Capsules,"Relieves fever, teething pain, and mild pain in pediatric patients.",Safe under standard dose. Discontinue if allergic reaction occurs.,1202
Co-Amoxiclav 20s SR-1435,Bosch,20s,Suspension,Syrups/Suspensions,"Combined antibiotic for severe respiratory, urinary, and dental bacterial infections.","Diarrhea, nausea, or localized rash.",1266
Amoxil 20mg SR-1436,Searle,20mg,Tablet,Tablets/Capsules,Broad-spectrum penicillin antibiotic for systemic bacterial infections.,"Nausea, diarrhea, abdominal discomfort, or skin rash.",1260
Lowplat 5ml SR-1437,Barrett Hodgson,5ml,Capsule,Tablets/Capsules,"Prevents blood clotting, reduces risk of heart attack, stroke, and cardiovascular events.","Increased bruising, nosebleeds, or minor bleeding.",781
Smecta 1g SR-1438,Searle,1g,Sachet,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,269
Skinoren 500mg/5ml SR-1439,Bosch,500mg/5ml,Cream,Tubes (Creams/Gels/Ointments),"Azelaic acid cream for acne vulgaris, papules, pustules, and skin hyperpigmentation.","Mild local burning, skin peeling, or itchiness.",660
Dalacin-T 10mg SR-1440,Abbott,10mg,Ointment,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,909
Bonjela 500mg SR-1441,Barrett Hodgson,500mg,Powder,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,568
Ennerzo 500mg SR-1442,Hilton,500mg,Powder,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue recovery.","Bloating, mild abdominal cramps, increased urination.",212
Septran 250mg/5ml SR-1443,Bosch,250mg/5ml,Tablet,Tablets/Capsules,"Sulfonamide antibiotic for chest, urinary tract, and bowel bacterial infections.","Nausea, skin rashes, or loss of appetite.",93
Polyfax 30s SR-1444,Hilton,30s,Gel,Tubes (Creams/Gels/Ointments),Dual antibiotic skin ointment to prevent and treat bacterial skin and wound infections.,Rare allergic skin reaction.,832
ORS (Nimkol) 500mg/5ml SR-1445,Bosch,500mg/5ml,Sachet,Powders/Sachets,"Oral rehydration salts to restore electrolytes lost during diarrhea, vomiting, and dehydration.",None under recommended usage.,1222
Instaflex 20mg SR-1446,Barrett Hodgson,20mg,Sachet,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",1318
Fesovit 50mg SR-1447,Abbott,50mg,Sachet,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,1395
Somogel 250mg SR-1448,Pfizer,250mg,Ointment,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,1047
Fesovit 10mg SR-1449,Barrett Hodgson,10mg,Powder,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,1254
Tusdec 10mg SR-1450,GSK,10mg,Suspension,Syrups/Suspensions,"Dry cough relief, pediatric fever control, or acid reflux relief.","Drowsiness, dry mouth, mild diarrhea.",541
Hydrozole 1g SR-1451,Pfizer,1g,Gel,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,862
Lowplat 500mg SR-1452,Hilton,500mg,Capsule,Tablets/Capsules,"Prevents blood clotting, reduces risk of heart attack, stroke, and cardiovascular events.","Increased bruising, nosebleeds, or minor bleeding.",614
Lipiget 10mg SR-1453,Bosch,10mg,Tablet,Tablets/Capsules,Lowers high cholesterol levels and prevents cardiovascular complications.,"Muscle pain, headache, or mild digestive issues.",864
Bonjela 100mg SR-1454,Pfizer,100mg,Powder,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,485
Bonjela 50mg SR-1455,Novartis,50mg,Powder,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,1449
Canesten 15g SR-1456,Bayer,15g,Ointment,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,1062
Septran 500mg SR-1457,Pfizer,500mg,Tablet,Tablets/Capsules,"Sulfonamide antibiotic for chest, urinary tract, and bowel bacterial infections.","Nausea, skin rashes, or loss of appetite.",1113
Voltral Gel 1g SR-1458,GSK,1g,Cream,Tubes (Creams/Gels/Ointments),"Topical diclofenac gel for instant relief of joint pain, backache, sprains, and osteoarthritis.",Safe locally. Rare skin rash or redness.,413
Tusdec 50mg SR-1459,Sanofi,50mg,Syrup,Syrups/Suspensions,"Dry cough relief, pediatric fever control, or acid reflux relief.","Drowsiness, dry mouth, mild diarrhea.",328
Dalacin-T 10s SR-1460,Martin Dow,10s,Ointment,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,341
Cranmax 20s SR-1461,Pfizer,20s,Sachet,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,606
Glucophage 1g SR-1462,Ferozsons,1g,Tablet,Tablets/Capsules,Improves glycemic control in type 2 diabetes mellitus as an oral hypoglycemic.,"Gastrointestinal upset, metallic taste, or nausea.",1470
Hydrozole 10mg SR-1463,Bayer,10mg,Cream,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,242
ORS (Nimkol) 500mg/5ml SR-1464,Martin Dow,500mg/5ml,Sachet,Powders/Sachets,"Oral rehydration salts to restore electrolytes lost during diarrhea, vomiting, and dehydration.",None under recommended usage.,764
Calpol 5ml SR-1465,Searle,5ml,Capsule,Tablets/Capsules,"Relieves fever, teething pain, and mild pain in pediatric patients.",Safe under standard dose. Discontinue if allergic reaction occurs.,332
Calpol Syrup 10s SR-1466,Barrett Hodgson,10s,Suspension,Syrups/Suspensions,"Pediatric paracetamol syrup for rapid relief of infant fever, immunization pain, and teething.",Safe under recommended dose.,608
Somogel 1g SR-1467,Sanofi,1g,Cream,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,1299
Skinoren 500mg/5ml SR-1468,Sami,500mg/5ml,Ointment,Tubes (Creams/Gels/Ointments),"Azelaic acid cream for acne vulgaris, papules, pustules, and skin hyperpigmentation.","Mild local burning, skin peeling, or itchiness.",54
Canesten 30g SR-1469,Barrett Hodgson,30g,Ointment,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,385
Bonjela 15g SR-1470,Pfizer,15g,Powder,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,433
Zovirax 10mg SR-1471,Pfizer,10mg,Gel,Tubes (Creams/Gels/Ointments),Antiviral cream for early relief and treatment of herpes labialis (cold sores).,Temporary mild stinging or dry skin.,1057
Brufen 250mg SR-1472,Barrett Hodgson,250mg,Tablet,Tablets/Capsules,"Relieves inflammatory pain, swelling, rheumatoid arthritis, dental pain, and muscular pain.","Mild stomach upset, heartburn, or nausea.",1089
Instaflex 250mg SR-1473,Bayer,250mg,Powder,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",1047
Calpol Syrup 1g SR-1474,Sanofi,1g,Syrup,Syrups/Suspensions,"Pediatric paracetamol syrup for rapid relief of infant fever, immunization pain, and teething.",Safe under recommended dose.,952
Softin 20mg SR-1475,Hilton,20mg,Capsule,Tablets/Capsules,"Provides relief from symptoms of allergic rhinitis, sneezing, watery eyes, and hives.","Drowsiness (rare), dry mouth, or headache.",340
Dermovate 250mg SR-1476,GSK,250mg,Gel,Tubes (Creams/Gels/Ointments),"Highly potent corticosteroid for severe eczema, psoriasis, and resistant dermatoses.","Local burning, skin thinning, or mild redness.",105
Somogel 30g SR-1477,Searle,30g,Ointment,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,1433
Brufen 20g SR-1478,Sami,20g,Capsule,Tablets/Capsules,"Relieves inflammatory pain, swelling, rheumatoid arthritis, dental pain, and muscular pain.","Mild stomach upset, heartburn, or nausea.",853
Mobic Gel 250mg SR-1479,Pfizer,250mg,Cream,Tubes (Creams/Gels/Ointments),"Topical anti-inflammatory gel for localized relief of muscular pain, sprains, and arthritis.",Mild skin irritation or dry skin.,74
Panadol 500mg/5ml SR-1480,Hilton,500mg/5ml,Capsule,Tablets/Capsules,"Used for rapid relief of fever, headache, migraine, toothache, and body pain.",Safe under recommended dose. Rare skin rash or liver issue if overdosed.,715
Zestril 50mg SR-1481,Bosch,50mg,Tablet,Tablets/Capsules,"Treats hypertension, heart failure, and protects kidney function in diabetic patients.","Dry cough, dizziness, or headache.",1210
Acetone 50s SR-1482,Sami,50s,Syrup,Syrups/Suspensions,Fever reducer and analgesic for mild-to-moderate physical discomforts.,Safe under recommended dose.,1321
Zovirax 15g SR-1483,Bosch,15g,Gel,Tubes (Creams/Gels/Ointments),Antiviral cream for early relief and treatment of herpes labialis (cold sores).,Temporary mild stinging or dry skin.,884
Acefyl 250mg SR-1484,Sanofi,250mg,Suspension,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,186
Azomax 50mg SR-1485,PharmEvo,50mg,Tablet,Tablets/Capsules,"Treats bacterial infections of respiratory tract, ENT, skin, and urinary tract.","Nausea, diarrhea, abdominal discomfort, or skin rash.",1188
Instaflex 20s SR-1486,Pfizer,20s,Sachet,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",1449
Dermovate 40mg SR-1487,Barrett Hodgson,40mg,Ointment,Tubes (Creams/Gels/Ointments),"Highly potent corticosteroid for severe eczema, psoriasis, and resistant dermatoses.","Local burning, skin thinning, or mild redness.",777
Arinac Forte 30s SR-1488,Barrett Hodgson,30s,Capsule,Tablets/Capsules,"Relieves nasal congestion, sinus pressure, fever, headache, and allergic rhinitis.","Mild drowsiness, dry mouth, or increased heart rate.",256
Lipiget 250mg SR-1489,Pfizer,250mg,Tablet,Tablets/Capsules,Lowers high cholesterol levels and prevents cardiovascular complications.,"Muscle pain, headache, or mild digestive issues.",564
